Position data for MD simulation
3183 1 29.963287 5.806305 17.348501
3184 2 28.020245 2.010852 21.471789
3185 2 22.103387 8.071538 21.55112
3186 1 24.074636 0.117652 17.320989
3187 1 26.195916 0.013611 15.50539
3188 2 28.233347 9.90689 15.451102
3189 2 29.809829 3.560089 18.623249
3190 1 22.173944 5.872952 14.542842
3191 1 22.28696 9.81821 19.69551
3192 1 26.0568 2.278113 14.463983
3193 2 25.866344 4.080157 21.313908
3194 1 24.068621 1.994439 21.41559
3195 2 20.042068 5.852782 21.496984
3196 2 20.207117 9.901763 21.334756
3197 2 25.928516 0.066552 21.461845
3198 2 26.390395 0.064383 18.690499
3199 2 29.981234 8.065335 21.662857
3200 2 26.159644 0.085218 24.697166
3201 2 29.883834 4.058647 21.751447
3202 2 22.324694 0.242792 27.29109
3203 1 29.758447 9.753083 23.079374
3204 2 25.998943 7.881661 21.780952
3205 2 28.095759 2.19422 24.538078
3206 1 25.935815 9.753715 23.007442
3207 1 27.905397 0.190298 23.226265
3208 1 22.130756 2.257106 23.197515
3209 2 22.099874 4.392637 24.639911
3210 1 22.094367 2.143164 25.595197
3211 1 22.16083 4.099478 27.003106
3212 1 22.136699 6.265981 23.07196
3213 1 22.073406 8.199906 24.710145
3214 1 22.06284 6.260589 25.770923
3215 1 22.132083 8.190388 27.268195
3216 1 27.924151 5.906016 21.783702
3217 1 28.271763 8.258505 28.679904
3218 1 24.221979 3.860008 23.009589
3219 2 24.131153 6.222712 24.284383
3220 1 24.18334 4.340401 25.992877
3221 2 23.870016 6.246387 27.47216
3222 1 23.944444 8.140962 22.983469
3223 1 28.177617 0.035621 25.913272
3224 1 24.189366 8.109116 25.810595
3225 2 26.085622 0.332236 27.367122
3226 1 27.982915 2.409113 27.332588
3227 2 24.112694 2.242782 24.53648
3228 1 24.148531 2.203581 27.353045
3229 1 26.212988 2.073217 23.204732
3230 2 26.057382 4.339874 24.456822
3231 1 26.161465 2.434774 25.826511
3232 1 26.404552 4.220332 27.612599
3233 1 20.255326 4.155465 25.783265
3234 1 26.219934 6.097178 22.992343
3235 1 26.138644 8.094962 24.44957
3236 1 25.972521 6.160751 26.195839
3237 2 26.281344 8.222257 27.336641
3238 2 20.049498 2.247915 27.242915
3239 1 28.211285 8.084925 26.071791
3240 1 28.05003 4.007692 23.194791
3241 2 28.115735 6.216 24.520971
3242 1 28.210011 4.457292 25.73442
3243 2 28.279784 6.249184 27.707412
3244 1 28.085257 8.105787 23.242047
3245 1 24.158915 0.498665 23.10134
3246 1 27.922796 9.971809 21.602001
3247 2 20.00043 6.077945 24.287359
3248 1 24.202214 6.050682 21.706146
3249 2 22.210512 4.122159 21.823061
3250 1 20.18781 0.279067 28.561455
3251 1 20.166505 0.437949 25.940091
3252 1 25.918851 6.074327 28.669512
3253 1 20.050964 4.259419 28.433128
3254 2 20.128302 2.053404 21.804795
3255 2 20.049359 6.320916 27.164082
3256 1 20.028211 4.060762 22.909919
3257 1 24.23323 7.949535 28.716773
3258 1 28.107164 0.370629 28.550739
3259 1 20.165203 8.148772 22.95495
3260 1 21.918665 6.153542 28.459989
3261 2 20.086792 9.904927 27.356189
3262 2 29.905618 4.245571 27.307369
3263 1 29.911624 0.262314 30.006822
3264 2 28.058152 2.261134 32.943999
3265 1 20.190698 8.257939 31.457056
3266 1 24.344789 0.261031 31.665533
3267 1 20.039809 6.184725 30.313504
3268 2 22.376092 4.293638 29.862987
3269 1 22.140897 2.036544 31.661945
3270 2 22.195479 4.298668 32.984522
3271 1 22.243741 2.259048 34.56425
3272 2 22.025368 7.943909 30.112842
3273 1 22.392824 6.190837 31.438985
3274 2 21.848906 8.316377 32.97388
3275 1 22.12165 6.185061 34.486502
3276 1 27.822561 2.214858 30.485914
3277 1 26.492953 0.082445 32.874137
3278 1 24.246747 0.205357 28.87869
3279 1 27.938514 8.236421 34.710251
3280 1 24.278028 6.163985 30.378803
3281 1 24.230454 3.961405 31.582892
3282 2 24.134473 6.112508 32.980667
3283 1 23.959062 4.273969 34.871035
3284 1 29.676969 6.146325 31.938352
3285 2 22.311263 0.187979 30.248426
3286 1 24.179455 8.379623 31.579618
3287 1 19.97785 4.147808 34.280137
3288 1 23.793194 8.20919 34.595782
3289 2 24.23455 2.238905 29.945342
3290 1 24.227297 0.25399 34.347349
3291 2 24.051381 2.415707 33.265137
3292 1 27.790513 7.881202 31.916422
3293 1 21.902487 2.166727 28.839276
3294 2 25.979771 3.99971 30.193202
3295 1 25.760422 2.296481 31.918773
3296 1 26.076872 4.23438 33.202126
3297 1 26.14302 2.206516 34.714509
3298 1 26.008095 2.081383 28.72346
3299 2 26.315992 7.916536 30.086214
3300 1 26.051846 6.183806 31.638278
3301 1 25.896727 8.487393 33.236989
3302 1 25.993098 6.504324 34.413302
3303 2 22.080021 0.141118 35.696971
3304 1 24.161811 4.348703 28.822626
3305 1 20.127518 4.00913 31.738983
3306 2 26.473284 0.219812 30.368858
3307 1 27.942096 6.264768 30.117232
3308 1 27.75497 4.436001 31.480576
3309 2 27.88312 6.184519 33.587844
3310 1 28.108142 4.106531 34.761826
3311 1 29.75457 4.068581 33.043889
3312 1 29.947886 6.064272 34.597404
3313 1 20.011957 0.200163 34.668721
3314 2 20.00382 6.117282 32.809078
3315 2 20.044391 2.210281 33.140814
3316 1 22.259955 0.361158 33.104633
3317 1 20.173984 0.207914 31.505379
3318 1 28.21561 3.969028 29.056929
3319 1 28.076917 2.045759 35.897103
3320 1 22.446115 10.059143 31.511576
3321 2 29.779703 4.209997 30.474798
3322 1 20.063598 8.077046 28.818025
3323 2 29.969864 8.179088 33.276915
3324 1 20.113395 0.133311 42.758197
3325 1 28.088643 0.125529 37.570495
3326 1 23.897595 2.380062 36.037811
3327 1 22.019294 1.710081 42.732267
3328 1 26.105113 9.852963 43.103908
3329 1 25.905827 1.8621 43.033029
3330 1 21.978998 2.111433 37.438684
3331 2 21.83337 4.123344 38.772469
3332 1 21.766919 2.005325 40.189742
3333 2 21.960265 3.918198 41.726833
3334 2 20.235974 6.418802 35.893298
3335 1 21.842651 6.369781 37.77131
3336 2 22.232298 8.312242 39.143484
3337 1 22.031889 5.97314 40.173747
3338 1 22.223457 8.226918 41.683588
3339 2 20.080352 2.153831 35.943058
3340 2 25.95114 8.124379 36.157687
3341 1 27.743918 6.04877 36.188931
3342 1 22.014914 5.99575 42.831003
3343 2 21.986422 0.020051 38.773802
3344 1 23.932223 4.232537 37.397138
3345 1 24.032951 6.166459 38.963013
3346 1 23.797415 3.888476 40.043815
3347 2 23.936229 6.090844 41.724171
3348 1 23.925514 8.387664 37.395508
3349 1 24.315391 8.148241 40.566213
3350 1 27.974339 2.235352 41.713479
3351 1 24.053669 3.914155 42.88201
3352 1 27.948456 9.754552 38.88039
3353 2 24.076469 1.926079 38.722357
3354 1 23.889307 1.951897 41.490394
3355 2 26.023543 0.267559 36.105416
3356 1 26.056663 2.027429 37.389972
3357 1 26.016121 3.922308 38.757443
3358 1 26.074311 2.026183 40.364422
3359 2 26.118122 3.899791 41.645894
3360 1 25.921347 5.884813 37.391185
3361 2 25.834842 8.280938 38.809964
3362 1 26.010875 6.034371 40.153043
3363 2 25.780953 7.900793 42.092273
3364 2 26.162841 4.114706 36.239829
3365 2 27.874938 2.177536 38.901466
3366 1 20.201579 8.280703 37.492549
3367 1 29.96089 2.032994 37.357201
3368 1 28.183388 4.015571 37.348625
3369 2 27.846905 6.01086 38.587118
3370 1 28.171696 4.161283 40.345517
3371 1 27.95846 5.863498 41.86152
3372 1 28.058192 7.780516 40.536965
3373 1 28.205579 8.072507 37.248938
3374 1 29.869205 6.025069 40.170271
3375 1 25.768147 5.729645 42.925906
3376 1 28.033429 0.222916 40.370462
3377 2 26.013874 0.249518 39.027704
3378 2 22.089091 8.368758 36.177601
3379 2 21.828454 4.421459 36.162625
3380 2 29.825057 4.176997 42.026256
3381 2 29.99303 0.122904 39.155513
3382 2 29.964712 8.235719 41.700037
3383 2 24.002761 6.285296 36.376505
3384 2 27.964772 9.852832 41.766194
3385 2 27.874204 9.99505 36.141611
3386 2 20.094617 2.091143 41.723351
3387 2 25.81131 15.87437 7.240631
3388 1 29.780728 18.204044 2.885682
3389 2 25.878737 19.837946 1.166778
3390 1 26.319591 10.128645 2.906668
3391 1 25.593199 18.142573 6.053753
3392 1 29.866565 10.351805 3.158024
3393 2 24.249291 10.054463 4.3097
3394 2 27.928239 10.137475 1.490393
3395 1 27.974702 12.264952 5.843059
3396 1 23.984542 11.813465 0.271488
3397 1 21.901562 13.993241 0.34754
3398 1 22.219392 11.761533 4.338499
3399 1 25.933174 14.016329 0.365745
3400 2 22.056194 11.888038 1.695248
3401 1 21.928971 13.907032 3.008208
3402 2 21.785579 16.169796 4.056932
3403 1 21.796982 13.979261 5.519429
3404 1 29.96189 12.621978 4.697564
3405 2 27.846568 18.065388 1.125816
3406 1 21.823256 15.856902 1.653749
3407 1 21.735148 18.282686 2.880646
3408 1 21.722626 18.023781 5.546928
3409 1 19.981196 19.860297 5.967275
3410 1 28.191686 20.019966 2.920493
3411 2 26.182851 11.788019 7.136467
3412 2 28.162853 18.255493 4.478441
3413 1 24.59017 12.180041 2.908263
3414 2 23.786609 14.309846 4.236626
3415 1 24.017799 11.945979 6.010396
3416 2 23.865148 14.201391 1.82828
3417 1 24.053697 16.301346 3.037336
3418 1 23.911977 18.383935 4.201371
3419 1 23.935284 16.280371 5.612847
3420 2 28.219313 14.212779 4.11542
3421 2 23.732553 18.105351 1.372198
3422 1 23.679306 14.084093 6.870101
3423 1 28.213899 16.288349 2.938022
3424 1 28.078692 15.854003 5.718819
3425 1 26.417874 11.825995 4.554886
3426 1 26.195806 12.020138 1.561461
3427 1 26.057263 14.107941 2.959468
3428 2 26.175512 16.439236 4.302619
3429 1 26.001034 14.08644 5.474015
3430 1 28.096806 12.194325 3.148111
3431 2 25.77507 16.089751 1.608987
3432 1 26.127253 18.256624 2.751752
3433 1 28.073237 13.998491 1.615028
3434 1 27.990865 18.257218 7.062075
3435 1 23.742368 15.999733 0.031502
3436 2 21.882317 11.935268 7.050006
3437 1 27.739369 15.888438 0.184255
3438 2 20.010496 13.890512 7.075727
3439 2 21.886742 15.869056 6.958353
3440 2 28.040581 10.271541 4.407856
3441 1 21.918218 18.120849 0.070528
3442 2 29.807035 15.956853 1.533627
3443 1 20.015426 16.11732 0.221452
3444 2 22.39908 19.846863 7.046032
3445 1 28.04031 10.023221 6.966581
3446 2 29.994459 12.092156 6.975455
3447 1 29.911537 14.255806 6.203414
3448 1 29.945861 10.159568 0.210022
3449 1 29.886639 19.923994 4.642481
3450 2 28.171456 10.185823 12.973773
3451 1 28.046755 16.160692 8.451529
3452 1 28.099488 17.815142 13.011218
3453 1 23.853055 17.931192 7.175592
3454 1 26.026918 18.062951 14.343418
3455 2 22.072609 19.88205 9.950017
3456 1 27.777567 14.137086 7.237428
3457 1 27.746715 19.995249 8.762352
3458 1 25.88235 10.073372 11.262224
3459 1 20.136632 15.711766 11.42166
3460 1 24.13376 19.887993 8.753252
3461 1 20.038064 11.797724 11.449457
3462 1 21.893975 11.878217 9.968351
3463 1 25.935254 10.188614 14.343248
3464 2 22.058545 11.917809 12.802809
3465 1 22.183938 13.762583 8.600621
3466 1 22.247818 15.725876 10.010921
3467 1 22.070506 13.931038 11.476891
3468 2 22.129228 16.165901 12.787929
3469 2 25.889475 19.930848 10.252287
3470 1 21.74903 17.888575 8.175039
3471 1 28.024018 19.897464 11.771374
3472 1 21.722066 18.067896 11.608389
3473 2 28.176401 13.925759 13.050965
3474 1 28.014434 15.788177 11.557889
3475 1 28.282081 12.200742 8.451123
3476 1 24.079265 11.997541 8.233877
3477 2 24.117773 13.860697 10.100381
3478 1 23.878642 11.881266 11.187976
3479 1 24.146466 14.104646 12.733376
3480 1 28.159232 11.901176 11.533376
3481 1 23.856808 15.787625 8.508978
3482 2 23.872945 17.706957 9.870293
3483 1 24.181187 16.082144 11.466315
3484 1 23.743857 18.114339 12.729186
3485 1 27.728978 11.983077 14.281236
3486 1 28.031175 15.782365 14.338648
3487 1 26.174344 12.064279 9.900336
3488 2 25.772669 11.923816 12.565838
3489 2 27.897012 10.352458 9.964536
3490 1 25.628301 13.754993 8.523411
3491 1 25.939311 16.036136 9.747315
3492 1 26.093679 14.348334 11.455447
3493 2 26.01351 16.005099 12.940725
3494 2 28.11848 14.004569 9.996111
3495 2 28.084033 18.01054 10.099792
3496 1 26.014655 18.147236 8.580997
3497 1 25.934742 17.720141 11.70943
3498 1 22.035256 13.924825 14.096245
3499 1 23.886975 19.934731 11.472924
3500 1 29.809789 18.256816 8.481636
3501 1 21.778373 18.281147 14.273193
3502 1 20.015627 16.068266 14.295487
3503 1 24.197762 15.995946 14.256547
3504 1 29.884285 13.90579 11.284677
3505 1 20.131897 10.078491 18.811591
3506 1 24.246654 9.976997 18.400021
3507 1 27.906403 15.898477 20.17592
3508 1 27.950694 19.801939 17.094716
3509 2 24.016333 10.087449 21.477847
3510 1 24.100605 11.887355 14.431093
3511 1 28.043588 12.082181 20.103298
3512 1 26.106923 14.119661 14.350452
3513 1 28.174242 19.867342 14.471388
3514 1 20.252638 12.177422 14.487607
3515 1 22.061368 12.196297 15.873474
3516 2 21.850601 12.023742 18.756522
3517 1 21.918152 10.106576 17.205315
3518 1 22.079952 15.977262 15.860906
3519 1 21.947247 14.037166 17.317702
3520 1 21.869304 16.108477 18.755712
3521 1 21.996723 14.251324 20.084668
3522 2 26.079787 19.883151 15.801861
3523 1 22.423615 17.904053 17.049044
3524 1 22.290397 18.093881 20.055936
3525 2 20.200974 18.022761 18.705899
3526 2 28.173334 17.851998 15.548533
3527 1 19.950835 15.957011 20.360555
3528 1 22.093927 12.14069 21.287189
3529 2 24.073647 14.058459 15.60994
3530 1 23.730036 12.227526 17.387597
3531 1 24.062264 14.114268 18.922775
3532 1 24.087491 12.054877 20.198716
3533 1 28.315565 11.869558 17.154893
3534 2 24.167637 17.974412 15.486677
3535 1 24.153119 16.200258 17.334521
3536 2 24.191144 18.151157 18.712224
3537 1 24.185099 15.92702 20.089604
3538 2 27.946433 14.027806 18.860058
3539 1 26.637958 10.139046 17.403092
3540 1 27.944988 17.86605 18.916425
3541 1 25.863622 11.98821 16.184905
3542 2 25.919878 12.225228 18.739347
3543 1 26.198447 16.041822 15.841011
3544 1 26.317406 14.002168 17.461245
3545 2 25.828482 16.343356 18.677987
3546 1 26.121918 13.959383 20.547977
3547 1 27.886589 15.883772 17.028899
3548 1 26.104867 18.12945 17.27394
3549 1 25.923498 18.182933 20.116515
3550 2 28.094528 13.637072 15.749117
3551 1 22.125709 9.985238 14.717059
3552 1 27.829659 20.027454 20.12063
3553 2 23.822203 13.958827 21.391584
3554 1 26.053456 10.068827 19.944625
3555 2 29.618561 15.988616 18.808511
3556 1 29.829873 11.75803 15.54527
3557 1 20.090233 14.135878 18.771163
3558 2 28.361796 10.021366 18.951108
3559 1 29.919282 18.091888 17.409003
3560 1 29.72274 19.936493 18.674202
3561 2 29.775597 16.000023 15.817024
3562 2 20.186228 18.022675 16.050891
3563 2 23.992476 18.101299 21.408176
3564 2 20.230758 18.134194 21.368986
3565 1 20.056036 19.927839 19.970056
3566 2 27.963991 17.961162 21.587623
3567 2 26.204571 11.939497 21.764178
3568 2 28.241916 10.126903 27.522062
3569 1 22.082425 10.072037 25.99328
3570 2 23.767187 10.275809 24.389775
3571 2 24.079166 10.002657 27.378375
3572 2 22.207926 16.055828 21.693952
3573 2 20.517318 17.977546 24.563143
3574 1 26.003421 10.049247 25.995541
3575 1 22.112669 12.147843 24.579564
3576 2 22.104575 12.04187 27.659149
3577 1 24.143996 19.965815 26.04949
3578 1 22.041066 13.989738 22.911992
3579 1 21.94568 15.912642 24.304744
3580 1 21.759864 13.802905 25.914583
3581 2 21.997826 16.067372 26.873905
3582 2 27.91708 10.060021 24.704968
3583 1 22.093863 18.082313 23.155035
3584 1 28.071372 18.004996 27.582407
3585 1 22.371342 18.300953 26.023139
3586 1 28.097691 16.19809 25.900981
3587 1 24.170191 19.801207 23.17065
3588 1 24.001154 12.003046 22.959755
3589 2 23.84187 14.119625 24.614916
3590 1 24.139623 12.085119 26.100779
3591 1 23.938254 14.104468 27.249833
3592 2 29.935261 16.258911 27.628109
3593 1 23.994966 16.097137 23.182096
3594 2 24.135957 17.894541 24.617417
3595 1 24.204767 16.10594 25.778455
3596 2 24.117065 17.91754 27.58881
3597 1 28.283384 13.761559 21.820892
3598 1 27.998355 15.767584 23.066411
3599 2 20.050962 14.251946 24.283072
3600 1 26.027166 11.955346 24.361052
3601 2 26.172877 12.120988 27.378546
3602 2 27.926917 18.029602 24.487564
3603 1 25.420489 14.141111 22.965139
3604 1 25.965907 16.08541 24.571205
3605 1 26.008165 14.134634 25.912908
3606 2 26.087511 16.176102 27.576661
3607 1 25.912859 17.97492 22.883503
3608 1 26.052441 18.106145 26.208143
3609 2 25.842113 16.031758 21.613648
3610 1 28.093561 11.792735 23.233853
3611 2 27.778441 13.825114 24.521645
3612 1 28.182259 11.928618 25.920865
3613 1 28.157359 14.161015 27.515333
3614 1 26.251205 19.855081 24.792965
3615 1 28.163345 19.906819 22.913435
3616 1 20.064369 19.664713 23.252939
3617 2 20.140217 13.747869 21.665448
3618 1 20.01175 19.790936 28.597024
3619 1 20.256266 11.833724 28.503798
3620 2 29.884093 11.784746 21.695817
3621 1 29.870654 17.876796 22.980768
3622 1 20.195399 17.672044 27.325137
3623 1 29.801783 17.83591 26.040601
3624 1 21.889292 10.153941 22.983669
3625 2 20.050331 10.175959 24.366778
3626 2 29.972858 15.990065 24.457656
3627 1 23.892951 19.931255 28.636075
3628 1 23.954021 15.902459 28.946802
3629 1 25.989913 18.234022 28.836813
3630 2 28.473066 10.069316 30.373115
3631 1 22.230249 9.982301 28.900881
3632 1 20.097211 15.662794 31.741719
3633 1 28.143694 16.0038 29.149703
3634 1 21.904328 12.085202 30.383656
3635 2 21.882138 11.698263 32.772068
3636 1 26.345325 10.04173 31.330296
3637 2 27.923077 13.8035 33.289987
3638 2 22.021569 16.161943 29.995345
3639 1 21.966781 14.223602 31.602622
3640 1 21.79975 16.097143 33.189419
3641 1 22.045556 13.944185 34.362295
3642 1 28.186489 12.0466 29.010988
3643 2 27.968445 18.277012 30.393946
3644 1 21.775024 17.9429 31.648078
3645 1 30.026231 19.889213 30.484703
3646 1 22.013112 18.173511 34.602126
3647 2 27.971162 10.010281 33.177387
3648 2 24.114542 14.026023 30.321899
3649 1 24.188506 11.960795 31.59365
3650 2 23.665142 14.074029 33.096154
3651 1 23.972109 12.289354 34.197174
3652 1 20.193461 11.79686 34.109205
3653 1 23.995842 18.220769 30.280467
3654 1 23.713838 16.150177 31.840389
3655 1 23.815163 18.0387 33.199047
3656 1 24.252442 16.023721 34.558545
3657 1 25.897485 14.106743 28.739968
3658 1 26.070018 12.089861 30.163282
3659 1 28.091211 16.063071 34.653344
3660 1 26.136243 12.14568 32.883387
3661 1 22.066376 13.94556 28.805599
3662 1 27.835383 18.138323 33.249409
3663 2 25.921729 16.213631 30.328206
3664 1 25.886863 14.367807 31.908169
3665 2 26.100128 16.289124 33.191921
3666 1 26.061905 13.991808 34.371807
3667 2 21.904708 19.911906 33.035913
3668 1 28.065502 11.938911 34.80562
3669 1 25.908852 17.894994 31.83243
3670 1 28.340644 12.111607 31.49905
3671 1 25.773194 18.206446 34.732644
3672 1 28.190724 16.309836 31.805623
3673 1 26.253874 10.20797 28.777349
3674 2 27.790419 13.883433 30.161115
3675 2 20.113257 10.226344 30.120944
3676 2 21.974422 19.997162 30.212011
3677 2 29.842558 19.703178 33.084596
3678 2 24.371122 10.155484 29.922654
3679 1 24.167315 12.101486 28.856243
3680 1 21.977483 10.052657 34.302781
3681 1 25.933315 10.177848 34.781546
3682 2 21.954293 16.209589 35.945253
3683 2 24.472358 14.063411 35.864486
3684 2 25.603412 19.893684 33.135627
3685 2 24.137668 10.200787 33.182305
3686 1 22.084649 18.202661 28.736911
3687 2 28.002406 18.299976 35.888909
3688 1 25.881318 12.100294 35.811897
3689 1 29.737426 14.059509 31.65553
3690 1 29.951334 18.044998 28.916549
3691 2 20.030086 13.984787 30.07385
3692 1 25.856661 19.895493 30.333165
3693 2 21.75249 11.918385 36.04769
3694 2 25.678768 19.917231 41.357277
3695 1 29.992573 12.068865 41.6481
3696 1 23.780203 10.4166 35.936753
3697 2 23.800496 10.124855 41.82273
3698 1 19.988426 12.256785 40.019929
3699 2 29.777492 15.929561 38.582163
3700 1 21.987738 12.441087 38.614759
3701 1 23.775961 10.096843 38.915026
3702 1 21.850755 12.409983 41.743599
3703 1 22.416893 14.131343 37.138006
3704 1 22.112781 16.035675 38.761124
3705 1 21.814253 14.306046 40.258907
3706 2 21.704297 16.339378 41.858997
3707 1 21.752353 17.900234 37.514271
3708 1 27.985311 15.814988 37.638857
3709 1 21.738209 18.015134 40.180833
3710 1 29.865703 13.800251 40.4843
3711 1 29.775767 17.992655 39.985144
3712 1 29.811211 14.178233 43.000639
3713 1 23.927389 12.117115 37.495777
3714 2 23.877537 14.049861 39.069409
3715 1 23.796358 12.046237 40.309021
3716 2 23.750044 13.798767 42.233455
3717 1 25.691565 17.920437 43.089357
3718 1 25.687548 10.364606 37.508331
3719 1 24.018117 15.921473 37.162166
3720 2 23.936824 17.914667 38.913123
3721 1 23.810319 15.829112 40.483995
3722 1 23.85542 17.718412 41.598227
3723 2 20.058784 14.44899 38.931878
3724 2 28.0095 18.100196 41.698828
3725 2 27.805463 13.998606 41.686479
3726 2 26.001392 11.953266 39.074149
3727 2 25.889657 12.097994 42.087073
3728 1 26.106354 13.841097 37.499705
3729 1 25.560058 16.006503 38.788915
3730 1 25.894786 13.765765 40.43359
3731 2 25.645577 15.849748 41.779073
3732 1 25.973422 18.095303 37.422524
3733 1 21.601198 10.577001 40.439288
3734 1 25.976356 17.703502 40.532497
3735 2 27.767157 17.999243 38.761777
3736 1 21.743703 10.274205 37.542967
3737 1 29.951135 10.121526 37.441948
3738 1 28.097486 11.773932 40.189781
3739 1 27.641256 15.893661 40.031843
3740 1 27.907942 11.977736 37.480978
3741 1 27.873764 13.859184 38.986898
3742 1 20.172886 14.014292 35.931863
3743 1 26.199989 15.926997 35.993373
3744 1 20.043933 15.916714 37.382775
3745 2 28.062226 14.058364 35.876057
3746 1 28.057956 11.982816 42.930389
3747 2 23.663286 18.117945 36.080846
3748 1 25.93229 10.108845 40.486869
3749 2 29.881569 16.031074 41.637572
3750 2 29.993676 12.234293 38.943314
3751 1 20.080556 17.840143 36.115897
3752 2 29.938621 15.914168 35.902968
3753 1 31.926469 0.163957 6.210378
3754 1 30.053638 2.045161 0.211223
3755 1 38.087973 5.914171 0.03791
3756 1 34.037825 9.910957 5.625484
3757 1 37.781734 9.784597 2.810806
3758 1 30.094639 9.715314 5.814667
3759 1 31.936189 4.149069 3.059248
3760 2 31.835019 6.007904 4.12913
3761 1 31.900177 4.245091 5.45509
3762 1 40.003648 4.150339 0.064585
3763 1 38.256762 -0.014691 4.327331
3764 2 32.053639 5.980268 1.385996
3765 1 32.309961 8.03024 2.749335
3766 1 31.980424 7.973504 5.609432
3767 1 37.963867 5.935142 5.729831
3768 1 38.283433 9.58239 6.110058
3769 2 32.1751 1.875492 4.616662
3770 1 31.759151 7.873162 0.137688
3771 2 32.200375 1.926407 1.275499
3772 1 33.860435 1.917384 2.830953
3773 2 34.025831 4.081606 4.353182
3774 1 34.316224 1.726883 5.940171
3775 1 34.125734 3.843414 1.490894
3776 1 33.922226 6.15478 2.72332
3777 2 34.34804 8.09335 4.436407
3778 1 34.113755 5.847375 5.821636
3779 2 29.991587 -0.013941 1.260354
3780 2 34.336832 8.187702 1.626176
3781 1 36.182671 9.792725 4.658823
3782 2 30.04636 3.961323 1.839799
3783 1 39.91806 3.746078 5.790532
3784 2 38.136055 7.772284 1.606352
3785 1 30.498121 1.657916 3.08343
3786 1 36.128348 3.84485 3.123228
3787 1 35.967366 6.141119 4.076078
3788 1 36.038116 4.045151 5.905512
3789 2 36.020117 5.820008 1.544738
3790 1 36.125239 8.098087 2.763885
3791 1 36.073038 7.556312 6.039246
3792 1 35.8747 0.151176 2.873194
3793 1 30.151056 8.112756 3.973499
3794 2 36.198213 1.720539 4.454301
3795 2 37.895271 8.029742 4.582029
3796 1 38.34197 5.82738 3.036835
3797 2 36.156463 2.213979 1.547266
3798 1 38.156468 1.938398 2.949573
3799 2 38.134399 4.004087 4.294562
3800 1 38.066889 2.007332 5.802452
3801 1 37.916543 3.893211 1.487198
3802 1 35.939473 0.040953 0.068994
3803 1 39.790036 9.864071 4.581709
3804 2 32.004401 6.162126 7.15913
3805 1 31.994075 0.0294 2.638037
3806 2 39.982443 1.897394 4.480362
3807 1 34.140687 9.91355 3.069935
3808 1 39.956438 5.944258 6.904439
3809 2 33.941267 7.969323 7.184399
3810 1 39.861149 0.088321 5.990992
3811 2 32.160917 9.745475 4.337615
3812 2 32.087148 2.025717 7.088122
3813 1 37.999463 1.785325 0.103041
3814 1 33.945783 6.164076 0.071229
3815 2 39.94622 2.148062 1.429482
3816 2 37.840136 0.004803 1.487792
3817 2 38.023588 7.797161 7.234036
3818 1 30.069818 9.812918 14.257788
3819 1 36.117595 4.028208 14.348247
3820 1 29.954773 2.240849 11.433067
3821 1 34.089068 4.032681 7.527254
3822 1 39.89583 7.84695 8.751709
3823 1 31.958141 4.116642 8.344653
3824 2 31.992534 6.008526 9.913146
3825 1 32.049667 3.940577 11.276084
3826 1 31.997924 5.987622 12.870374
3827 1 31.88714 8.054758 8.48752
3828 2 30.181922 0.129058 12.81384
3829 1 31.831775 8.029244 11.23753
3830 1 36.172212 2.21314 7.256966
3831 2 39.936164 1.720817 10.225483
3832 1 30.245561 5.878187 14.337674
3833 1 31.844814 2.236989 9.607941
3834 2 30.087701 7.667367 12.780453
3835 2 32.010944 2.103442 12.925566
3836 2 37.805183 7.969564 12.9431
3837 1 34.247778 1.894989 8.694418
3838 2 33.892907 3.915326 9.867971
3839 1 34.047603 1.982212 11.08231
3840 2 33.776818 4.043776 12.952114
3841 2 38.169744 0.30096 7.3143
3842 1 34.01249 6.005416 8.61004
3843 1 33.900051 7.917491 9.850656
3844 1 33.814703 6.093602 11.458919
3845 2 33.80527 8.03393 12.829602
3846 1 38.380585 1.716146 11.736454
3847 1 30.050108 3.950438 9.731039
3848 2 38.128087 4.072831 7.421317
3849 2 38.227969 3.885399 10.564575
3850 1 36.072388 3.928879 8.856456
3851 2 35.739396 6.274515 10.011938
3852 1 35.938301 4.343978 11.649497
3853 1 36.042841 6.318264 13.045121
3854 1 36.177008 8.19453 8.378716
3855 1 38.205998 6.015021 8.624634
3856 1 35.784057 8.184681 11.315485
3857 1 38.178902 3.812587 12.891853
3858 1 36.1663 0.167494 11.662072
3859 1 37.791707 5.997575 11.565582
3860 2 36.244666 2.161106 10.398578
3861 1 29.983689 6.000694 8.687028
3862 2 35.98699 2.283584 12.895951
3863 2 37.973988 8.217541 10.274269
3864 1 37.998272 2.076463 8.859704
3865 1 35.631041 8.091892 14.19703
3866 1 38.335499 9.821148 12.033794
3867 2 32.120038 9.963492 10.100089
3868 1 32.126537 0.186164 14.305771
3869 1 35.96436 5.738834 7.372879
3870 1 39.938342 9.81408 10.134489
3871 1 38.011077 10.035458 8.818958
3872 1 30.263526 5.786688 11.478802
3873 1 31.969505 9.912752 12.642264
3874 1 30.194272 0.287347 10.046593
3875 1 38.23527 6.044436 14.147307
3876 1 33.989286 2.085544 14.319782
3877 1 35.73543 9.825943 9.817375
3878 1 39.709034 7.867854 11.492405
3879 1 30.194946 9.961289 8.71476
3880 1 33.963168 9.939535 11.446584
3881 1 39.863066 4.04234 17.439603
